,Single Year of Age,Administrative Counties,VALUE
32,0,Ireland,57796
33,0,Carlow County Council,699
34,0,Dublin City Council,6213
35,0,Dún Laoghaire Rathdown County Council,2457
36,0,Fingal County Council,4009
37,0,South Dublin County Council,3544
38,0,Kildare County Council,3005
39,0,Kilkenny County Council,1123
40,0,Laois County Council,1100
41,0,Longford County Council,527
42,0,Louth County Council,1700
43,0,Meath County Council,2774
44,0,Offaly County Council,935
45,0,Westmeath County Council,1129
46,0,Wexford County Council,1792
47,0,Wicklow County Council,1710
48,0,Clare County Council,1377
49,0,Cork City Council,2283
50,0,Cork County Council,4190
51,0,Kerry County Council,1665
52,0,Limerick City & County Council,2165
53,0,Tipperary County Council,1932
54,0,Waterford City & County Council,1340
55,0,Galway City Council,792
56,0,Galway County Council,2249
57,0,Leitrim County Council,404
58,0,Mayo  County Council,1520
59,0,Roscommon County Council,748
60,0,Sligo County Council,743
61,0,Cavan County Council,1006
62,0,Donegal County Council,1797
63,0,Monaghan County Council,868
64,1 year,Ireland,56420
65,1 year,Carlow County Council,649
66,1 year,Dublin City Council,5699
67,1 year,Dún Laoghaire Rathdown County Council,2437
68,1 year,Fingal County Council,3894
69,1 year,South Dublin County Council,3673
70,1 year,Kildare County Council,2987
71,1 year,Kilkenny County Council,1121
72,1 year,Laois County Council,1008
73,1 year,Longford County Council,482
74,1 year,Louth County Council,1531
75,1 year,Meath County Council,2638
76,1 year,Offaly County Council,937
77,1 year,Westmeath County Council,1158
78,1 year,Wexford County Council,1724
79,1 year,Wicklow County Council,1682
80,1 year,Clare County Council,1360
81,1 year,Cork City Council,2284
82,1 year,Cork County Council,4115
83,1 year,Kerry County Council,1550
84,1 year,Limerick City & County Council,2235
85,1 year,Tipperary County Council,1808
86,1 year,Waterford City & County Council,1266
87,1 year,Galway City Council,757
88,1 year,Galway County Council,2217
89,1 year,Leitrim County Council,406
90,1 year,Mayo  County Council,1566
91,1 year,Roscommon County Council,764
92,1 year,Sligo County Council,766
93,1 year,Cavan County Council,1004
94,1 year,Donegal County Council,1881
95,1 year,Monaghan County Council,821
96,2 years,Ireland,59210
97,2 years,Carlow County Council,689
98,2 years,Dublin City Council,5830
99,2 years,Dún Laoghaire Rathdown County Council,2489
100,2 years,Fingal County Council,4308
101,2 years,South Dublin County Council,3734
102,2 years,Kildare County Council,3102
103,2 years,Kilkenny County Council,1179
104,2 years,Laois County Council,1169
105,2 years,Longford County Council,544
106,2 years,Louth County Council,1694
107,2 years,Meath County Council,2851
108,2 years,Offaly County Council,945
109,2 years,Westmeath County Council,1108
110,2 years,Wexford County Council,1835
111,2 years,Wicklow County Council,1796
112,2 years,Clare County Council,1473
113,2 years,Cork City Council,2306
114,2 years,Cork County Council,4290
115,2 years,Kerry County Council,1651
116,2 years,Limerick City & County Council,2373
117,2 years,Tipperary County Council,1836
118,2 years,Waterford City & County Council,1329
119,2 years,Galway City Council,792
120,2 years,Galway County Council,2349
121,2 years,Leitrim County Council,453
122,2 years,Mayo  County Council,1526
123,2 years,Roscommon County Council,893
124,2 years,Sligo County Council,764
125,2 years,Cavan County Council,1061
126,2 years,Donegal County Council,1971
127,2 years,Monaghan County Council,870
128,3 years,Ireland,60484
129,3 years,Carlow County Council,754
130,3 years,Dublin City Council,5580
131,3 years,Dún Laoghaire Rathdown County Council,2613
132,3 years,Fingal County Council,4384
133,3 years,South Dublin County Council,3856
134,3 years,Kildare County Council,3120
135,3 years,Kilkenny County Council,1203
136,3 years,Laois County Council,1219
137,3 years,Longford County Council,583
138,3 years,Louth County Council,1603
139,3 years,Meath County Council,2928
140,3 years,Offaly County Council,1009
141,3 years,Westmeath County Council,1148
142,3 years,Wexford County Council,1864
143,3 years,Wicklow County Council,1862
144,3 years,Clare County Council,1468
145,3 years,Cork City Council,2294
146,3 years,Cork County Council,4437
147,3 years,Kerry County Council,1714
148,3 years,Limerick City & County Council,2352
